name	version	url	country	source
vladislovecloud.ru	1.141.0	matrix.vladislovecloud.ru	Unknown	Asra.gr
trinity.fhi.mpg.de	1.141.0	trinity.fhi.mpg.de	Unknown	Asra.gr
matrix.vincze.work	1.141.0	matrix.vincze.work	Unknown	Asra.gr
matrix.leturcq.bzh	1.141.0	matrix.leturcq.bzh	Unknown	Asra.gr
lindstrom-aberg.se	1.141.0	lindstrom-aberg.se	Unknown	Asra.gr
snowboardtechie.com	1.141.0	matrix.snowboardtechie.com	Unknown	Asra.gr
matrix.rural-it.org	1.141.0	matrix.rural-it.org	Unknown	Asra.gr
matrix.portstuck.at	1.141.0	matrix.portstuck.at	Unknown	Asra.gr
matrix.meissners.me	1.141.0	matrix.meissners.me	Unknown	Asra.gr
matrix.161hz.stream	1.141.0	matrix.161hz.stream	Unknown	Asra.gr
laurahargreaves.com	1.141.0	matrix.laurahargreaves.com	Unknown	Asra.gr
server.matrix4ulm.de	1.141.0	server.matrix4ulm.de	Unknown	Asra.gr
riot.firechicken.net	1.141.0	riot.firechicken.net	Unknown	Asra.gr
matrix.team-rage.net	1.141.0	matrix.team-rage.net	Unknown	Asra.gr
matrix.pfalz-mail.de	1.141.0	matrix.pfalz-mail.de	Unknown	Asra.gr
net.savva-balashov.me	1.141.0	net.savva-balashov.me	Unknown	Asra.gr
matrix.romeobagay.com	1.141.0	matrix.romeobagay.com	Unknown	Asra.gr
matrix.gruppeheat.net	1.141.0	matrix.gruppeheat.net	Unknown	Asra.gr
matrix.flow-host.space	1.141.0	matrix.flow-host.space	Unknown	Asra.gr
invisiblethingslab.com	1.141.0	m.itl.space	Unknown	Asra.gr
matrix.baranovski.cloud	1.141.0	matrix.baranovski.cloud	Unknown	Asra.gr
schnack.geekyschmidt.com	1.141.0	schnack.geekyschmidt.com	Unknown	Asra.gr
netz.darknight-coffee.eu	1.141.0	treff.darknight-coffee.org	Unknown	Asra.gr
matrix.kevinronceray.com	1.141.0	matrix.kevinronceray.com	Unknown	Asra.gr
matrix.fimozishe.work.gd	1.141.0	matrix.fimozishe.work.gd	Unknown	Asra.gr
depesche.brockenberg7.de	1.141.0	depesche.brockenberg7.de	Unknown	Asra.gr
chat.clinkard-clacey.com	1.141.0	chat.clinkard-clacey.com	Unknown	Asra.gr
chaostreff-osnabrueck.de	1.141.0	matrix.chaostreff-osnabrueck.de	Unknown	Asra.gr
worldethicaldataforum.org	1.141.0	matrix.worldethicaldataforum.org	Unknown	Asra.gr
wolffelectronicdesign.com	1.141.0	wolffelectronicdesign.com	Unknown	Asra.gr
pridelands-after-dark.com	1.141.0	pridelands-after-dark.com	Unknown	Asra.gr
matrix.csn.tu-chemnitz.de	1.141.0	matrix.csn.tu-chemnitz.de	Unknown	Asra.gr
roundtable.gearlandia.haus	1.141.0	roundtable.gearlandia.haus	Unknown	Asra.gr
matrix.infosec-consult.com	1.141.0	matrix.infosec-consult.com	Unknown	Asra.gr
chatapi.portfoliohub.eu.org	1.141.0rc1	chatapi.portfoliohub.eu.org	Unknown	Asra.gr
synapse.the-cryptolution.com	1.141.0	synapse.the-cryptolution.com	Unknown	Asra.gr
server.digitalesozialearbeit.de	1.141.0	server.digitalesozialearbeit.de	Unknown	Asra.gr
bitcoinlightningandcamembert.org	1.141.0	bitcoinlightningandcamembert.org	Unknown	Asra.gr
